"team","rat","pwr","off","def","hfa","so_s","ssf","ew","el"
"Merrimack",5.23,21.41,78.56,18.54,2.75,22.12,22.12,0,0
"F Dickinson",5.23,22.04,89.3,8.43,2.68,24.73,24.73,0,0
"NE Omaha",5.22,21.88,85.81,11.76,2.71,31.44,31.44,0,0
"E Illinois",5.22,22.11,85.1,12.7,2.64,26.29,26.29,0,0
"Sacred Heart",5.21,20.04,84.48,11.26,2.76,23.71,23.71,0,0
"W Illinois",5.21,20.64,87.14,9.19,2.78,27.87,27.87,0,0
"Rider",5.21,22.02,85.86,11.86,2.72,27.05,27.05,0,0
"St Francis NY",5.2,20.96,89.45,7.2,2.82,22.24,22.24,0,0
"Northwestern LA",5.18,21.08,87.41,9.36,2.75,26.97,26.97,0,0
"Lamar",5.17,20.98,82.39,14.29,2.8,26.46,26.46,0,0
"New Orleans",5.17,22.22,88.28,9.64,2.98,22.72,22.72,0,0
"Manhattan",5.16,21.65,79.84,17.51,2.71,24.29,24.29,0,0
"Holy Cross",5.16,20.52,85.14,11.07,2.74,26.78,26.78,0,0
"Florida A&M",5.1,21.4,80.83,16.26,2.78,24.68,24.68,0,0
"Maine",5.1,20.02,76.06,19.65,2.81,28.59,28.59,0,0
"Robert Morris",5.07,21.58,86.2,11.08,2.73,26.23,26.23,0,0
"Cal Poly",5.06,21.2,80.17,16.72,2.66,28.56,28.56,0,0
"Grambling",5.06,19.92,81.65,13.97,2.69,21.74,21.74,0,0
"High Point",5.05,19.99,80.7,14.98,2.83,24.56,24.56,0,0
"Dixie St",5.05,18.12,84.26,9.55,2.77,25.27,25.27,0,0
"Coppin St",5.04,18.71,85.79,8.61,2.81,25.51,25.51,0,0
"St Francis PA",5.03,21.66,84.72,12.63,2.74,24.74,24.74,0,0
"Portland",5.02,18.62,86.31,18,2.62,30.89,30.89,0,0
"San Jose St",5.01,18.7,86.16,8.23,2.8,31.69,31.69,0,0
"SIUE",5.01,18.54,80.3,13.93,2.63,25.78,25.78,0,0
"Tennessee Tech",4.97,20.04,83.66,12.07,2.8,29.01,29.01,0,0
"Southern Univ",4.96,20.97,83.31,13.35,2.96,21.81,21.81,0,0
"Lehigh",4.95,18.81,81.82,12.69,2.65,24.9,24.9,0,0
"Hampton",4.95,18.08,83.76,10.01,2.66,22.05,22.05,0,0
"N Illinois",4.94,20.05,80.83,14.92,2.7,30.5,30.5,0,0
"Binghamton",4.92,18.76,83.31,11.15,2.58,26.05,26.05,0,0
"Cent Arkansas",4.9,19.57,86.55,8.72,2.86,28.91,28.91,0,0
"SE Louisiana",4.84,17.12,82.19,10.62,2.89,26.31,26.31,0,0
"TN Martin",4.78,15.75,82.21,9.23,2.79,25.42,25.42,0,0
"Presbyterian",4.77,18.56,78.75,15.5,2.84,20.55,20.55,0,0
"McNeese St",4.76,19.33,84.68,10.34,2.9,11.54,11.54,0,0
"SC Upstate",4.76,18.8,82.11,12.38,2.73,25.48,25.48,0,0
"Tennessee St",4.74,19.59,82.83,12.46,2.7,23.97,23.97,0,0
"Alabama A&M",4.66,16.25,76.28,15.66,2.95,20.41,20.41,0,0
"Houston Bap",4.63,17.08,86.47,6.3,2.71,25.35,25.35,0,0
"Kennesaw",4.63,18.1,79.35,14.45,2.82,22.32,22.32,0,0
"Central Conn",4.59,15.52,82.33,8.88,2.73,24.57,24.57,0,0
"Denver",4.58,18.93,85.69,28.94,2.82,26.39,26.39,0,0
"Incarnate Word",4.57,16.21,79.37,12.53,2.75,20.03,20.03,0,0
"NC Central",4.51,15.47,79.57,11.59,2.75,21.36,21.36,0,0
"Idaho",4.49,17.17,80.43,12.43,2.61,29.9,29.9,0,0
"Alcorn St",4.49,15.83,81.38,10.15,2.86,24.78,24.78,0,0
"TAM C. Christi",4.49,17.19,79.53,13.35,2.83,22.89,22.89,0,0
"Charleston So",4.41,16.68,81.22,11.15,2.69,22.72,22.72,0,0
"Howard",4.41,14.61,84.72,5.58,2.8,25.92,25.92,0,0
"Ark Pine Bluff",4.21,13.82,78.59,10.92,2.88,27.46,27.46,0,0
"Alabama St",4.12,14.38,78.82,11.25,2.81,18.57,18.57,0,0
"S Carolina St",3.81,11.34,79.01,8.02,2.85,25.39,25.39,0,0
"Chicago St",3.79,10.97,79.31,27.36,2.81,35.97,35.97,0,0
"Delaware St",3.63,8.96,83.34,1.31,2.75,21.82,21.82,0,0
"MS Valley St",3.1,2.64,76.76,1.58,2.76,27.41,27.41,0,0
